0:0:0:0:0:0:0:1 - - [29/Mar/2020:15:19:24 +0200] "GET /favicon.ico HTTP/1.1" 404 1013
0:0:0:0:0:0:0:1 - - [29/Mar/2020:15:19:27 +0200] "GET /Ej06_Selenium/index.html HTTP/1.1" 200 4601
0:0:0:0:0:0:0:1 - - [29/Mar/2020:15:19:27 +0200] "GET /Ej06_Selenium/imagenes/imagen2.png HTTP/1.1" 200 11193
0:0:0:0:0:0:0:1 - - [29/Mar/2020:15:19:27 +0200] "GET /Ej06_Selenium/imagenes/imagen1.png HTTP/1.1" 200 39686
0:0:0:0:0:0:0:1 - - [29/Mar/2020:15:19:27 +0200] "GET /favicon.ico HTTP/1.1" 404 1013
0:0:0:0:0:0:0:1 - - [29/Mar/2020:15:19:27 +0200] "GET /Ej06_Selenium/index.html HTTP/1.1" 200 4601
0:0:0:0:0:0:0:1 - - [29/Mar/2020:15:19:27 +0200] "GET /Ej06_Selenium/imagenes/imagen1.png HTTP/1.1" 200 39686
0:0:0:0:0:0:0:1 - - [29/Mar/2020:15:19:27 +0200] "GET /Ej06_Selenium/imagenes/imagen2.png HTTP/1.1" 200 11193
0:0:0:0:0:0:0:1 - - [29/Mar/2020:15:19:27 +0200] "GET /favicon.ico HTTP/1.1" 404 1013
0:0:0:0:0:0:0:1 - - [29/Mar/2020:15:19:34 +0200] "GET /Ej06_Selenium/index.html HTTP/1.1" 200 4601
0:0:0:0:0:0:0:1 - - [29/Mar/2020:15:19:34 +0200] "GET /Ej06_Selenium/imagenes/imagen2.png HTTP/1.1" 200 11193
0:0:0:0:0:0:0:1 - - [29/Mar/2020:15:19:34 +0200] "GET /Ej06_Selenium/imagenes/imagen1.png HTTP/1.1" 200 39686
0:0:0:0:0:0:0:1 - - [29/Mar/2020:15:19:34 +0200] "GET /favicon.ico HTTP/1.1" 404 1013
0:0:0:0:0:0:0:1 - - [29/Mar/2020:16:38:47 +0200] "GET /Ej06_Selenium/index.html HTTP/1.1" 200 4601
0:0:0:0:0:0:0:1 - - [29/Mar/2020:16:38:47 +0200] "GET /Ej06_Selenium/index.html HTTP/1.1" 200 4601
0:0:0:0:0:0:0:1 - - [29/Mar/2020:16:38:47 +0200] "GET /Ej06_Selenium/imagenes/imagen1.png HTTP/1.1" 200 39686
0:0:0:0:0:0:0:1 - - [29/Mar/2020:16:38:47 +0200] "GET /Ej06_Selenium/imagenes/imagen2.png HTTP/1.1" 200 11193
0:0:0:0:0:0:0:1 - - [29/Mar/2020:16:38:47 +0200] "GET /Ej06_Selenium/imagenes/imagen1.png HTTP/1.1" 200 39686
0:0:0:0:0:0:0:1 - - [29/Mar/2020:16:38:47 +0200] "GET /Ej06_Selenium/imagenes/imagen2.png HTTP/1.1" 200 11193
0:0:0:0:0:0:0:1 - - [29/Mar/2020:16:38:48 +0200] "GET /favicon.ico HTTP/1.1" 404 1013
0:0:0:0:0:0:0:1 - - [29/Mar/2020:16:38:48 +0200] "GET /favicon.ico HTTP/1.1" 404 1013
0:0:0:0:0:0:0:1 - - [29/Mar/2020:16:38:53 +0200] "GET /Ej06_Selenium/index.html HTTP/1.1" 200 4601
0:0:0:0:0:0:0:1 - - [29/Mar/2020:16:38:54 +0200] "GET /Ej06_Selenium/imagenes/imagen2.png HTTP/1.1" 200 11193
0:0:0:0:0:0:0:1 - - [29/Mar/2020:16:38:54 +0200] "GET /Ej06_Selenium/imagenes/imagen1.png HTTP/1.1" 200 39686
