127.0.0.1 - - [25/Apr/2020:17:56:03 +0200] "GET / HTTP/1.1" 404 1002
0:0:0:0:0:0:0:1 - - [25/Apr/2020:19:51:50 +0200] "GET /Ej06_Selenium/index.html HTTP/1.1" 200 4791
0:0:0:0:0:0:0:1 - - [25/Apr/2020:19:51:50 +0200] "GET /Ej06_Selenium/imagenes/imagen1.png HTTP/1.1" 200 39686
0:0:0:0:0:0:0:1 - - [25/Apr/2020:19:51:50 +0200] "GET /Ej06_Selenium/imagenes/imagen2.png HTTP/1.1" 200 11193
0:0:0:0:0:0:0:1 - - [25/Apr/2020:19:51:50 +0200] "GET /favicon.ico HTTP/1.1" 404 1013
0:0:0:0:0:0:0:1 - - [25/Apr/2020:19:51:50 +0200] "GET /favicon.ico HTTP/1.1" 404 1013
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:20:07 +0200] "GET /Ej06_Selenium/index.html HTTP/1.1" 200 4791
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:20:07 +0200] "GET /Ej06_Selenium/imagenes/imagen2.png HTTP/1.1" 200 11193
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:20:07 +0200] "GET /Ej06_Selenium/imagenes/imagen1.png HTTP/1.1" 200 39686
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:20:07 +0200] "GET /favicon.ico HTTP/1.1" 404 1013
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:21:00 +0200] "GET /Ej06_Selenium/index.html HTTP/1.1" 200 4791
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:21:00 +0200] "GET /Ej06_Selenium/imagenes/imagen1.png HTTP/1.1" 200 39686
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:21:00 +0200] "GET /Ej06_Selenium/imagenes/imagen2.png HTTP/1.1" 200 11193
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:21:00 +0200] "GET /favicon.ico HTTP/1.1" 404 1013
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:29:38 +0200] "GET /Ej06_Selenium/index.html HTTP/1.1" 200 4791
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:29:38 +0200] "GET /Ej06_Selenium/imagenes/imagen1.png HTTP/1.1" 200 39686
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:29:38 +0200] "GET /Ej06_Selenium/imagenes/imagen2.png HTTP/1.1" 200 11193
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:29:38 +0200] "GET /favicon.ico HTTP/1.1" 404 1013
0:0:0:0:0:0:0:1 - - [25/Apr/2020:21:03:41 +0200] "GET /Ej06_Selenium/index.html HTTP/1.1" 200 4791
0:0:0:0:0:0:0:1 - - [25/Apr/2020:21:03:41 +0200] "GET /Ej06_Selenium/imagenes/imagen2.png HTTP/1.1" 200 11193
0:0:0:0:0:0:0:1 - - [25/Apr/2020:21:03:41 +0200] "GET /Ej06_Selenium/imagenes/imagen1.png HTTP/1.1" 200 39686
0:0:0:0:0:0:0:1 - - [25/Apr/2020:21:03:41 +0200] "GET /favicon.ico HTTP/1.1" 404 1013
0:0:0:0:0:0:0:1 - - [25/Apr/2020:21:05:44 +0200] "GET /Ej06_Selenium/index.html HTTP/1.1" 200 4791
0:0:0:0:0:0:0:1 - - [25/Apr/2020:21:05:45 +0200] "GET /Ej06_Selenium/imagenes/imagen1.png HTTP/1.1" 200 39686
0:0:0:0:0:0:0:1 - - [25/Apr/2020:21:05:45 +0200] "GET /Ej06_Selenium/imagenes/imagen2.png HTTP/1.1" 200 11193
0:0:0:0:0:0:0:1 - - [25/Apr/2020:21:05:45 +0200] "GET /favicon.ico HTTP/1.1" 404 1013
0:0:0:0:0:0:0:1 - - [25/Apr/2020:21:06:46 +0200] "GET /Ej06_Selenium/index.html HTTP/1.1" 200 4791
0:0:0:0:0:0:0:1 - - [25/Apr/2020:21:06:46 +0200] "GET /Ej06_Selenium/imagenes/imagen2.png HTTP/1.1" 200 11193
0:0:0:0:0:0:0:1 - - [25/Apr/2020:21:06:46 +0200] "GET /Ej06_Selenium/imagenes/imagen1.png HTTP/1.1" 200 39686
0:0:0:0:0:0:0:1 - - [25/Apr/2020:21:06:46 +0200] "GET /favicon.ico HTTP/1.1" 404 1013
