127.0.0.1 - - [27/Mar/2020:19:51:45 +0100] "GET / HTTP/1.1" 404 1002
0:0:0:0:0:0:0:1 - - [27/Mar/2020:20:20:47 +0100] "GET /Ej06_Selenium/index.html HTTP/1.1" 200 4601
0:0:0:0:0:0:0:1 - - [27/Mar/2020:20:20:47 +0100] "GET /favicon.ico HTTP/1.1" 404 1013
0:0:0:0:0:0:0:1 - - [27/Mar/2020:20:20:50 +0100] "GET /Ej06_Selenium/imagenes/imagen2.png HTTP/1.1" 500 11193
0:0:0:0:0:0:0:1 - - [27/Mar/2020:20:20:51 +0100] "GET /Ej06_Selenium/imagenes/imagen1.png HTTP/1.1" 200 39686
0:0:0:0:0:0:0:1 - - [27/Mar/2020:20:20:57 +0100] "GET /Ej06_Selenium/index.html HTTP/1.1" 200 4601
0:0:0:0:0:0:0:1 - - [27/Mar/2020:20:20:57 +0100] "GET /Ej06_Selenium/imagenes/imagen2.png HTTP/1.1" 200 11193
0:0:0:0:0:0:0:1 - - [27/Mar/2020:20:20:57 +0100] "GET /Ej06_Selenium/imagenes/imagen1.png HTTP/1.1" 200 39686
0:0:0:0:0:0:0:1 - - [27/Mar/2020:20:20:58 +0100] "GET /favicon.ico HTTP/1.1" 404 1013
0:0:0:0:0:0:0:1 - - [27/Mar/2020:20:20:59 +0100] "GET /Ej06_Selenium/index.html HTTP/1.1" 200 4601
0:0:0:0:0:0:0:1 - - [27/Mar/2020:20:20:59 +0100] "GET /Ej06_Selenium/imagenes/imagen1.png HTTP/1.1" 200 39686
0:0:0:0:0:0:0:1 - - [27/Mar/2020:20:20:59 +0100] "GET /Ej06_Selenium/imagenes/imagen2.png HTTP/1.1" 200 11193
0:0:0:0:0:0:0:1 - - [27/Mar/2020:20:20:59 +0100] "GET /favicon.ico HTTP/1.1" 404 1013
0:0:0:0:0:0:0:1 - - [27/Mar/2020:20:21:07 +0100] "GET /Ej06_Selenium/index.html HTTP/1.1" 200 4601
0:0:0:0:0:0:0:1 - - [27/Mar/2020:20:21:07 +0100] "GET /Ej06_Selenium/imagenes/imagen1.png HTTP/1.1" 200 39686
0:0:0:0:0:0:0:1 - - [27/Mar/2020:20:21:07 +0100] "GET /Ej06_Selenium/imagenes/imagen2.png HTTP/1.1" 200 11193
0:0:0:0:0:0:0:1 - - [27/Mar/2020:20:21:07 +0100] "GET /favicon.ico HTTP/1.1" 404 1013
0:0:0:0:0:0:0:1 - - [27/Mar/2020:20:21:08 +0100] "GET /Ej06_Selenium/index.html HTTP/1.1" 200 4601
0:0:0:0:0:0:0:1 - - [27/Mar/2020:20:21:09 +0100] "GET /Ej06_Selenium/imagenes/imagen1.png HTTP/1.1" 200 39686
0:0:0:0:0:0:0:1 - - [27/Mar/2020:20:21:09 +0100] "GET /Ej06_Selenium/imagenes/imagen2.png HTTP/1.1" 200 11193
0:0:0:0:0:0:0:1 - - [27/Mar/2020:20:21:09 +0100] "GET /favicon.ico HTTP/1.1" 404 1013
0:0:0:0:0:0:0:1 - - [27/Mar/2020:20:21:16 +0100] "GET /Ej06_Selenium/index.html HTTP/1.1" 200 4601
0:0:0:0:0:0:0:1 - - [27/Mar/2020:20:21:16 +0100] "GET /Ej06_Selenium/imagenes/imagen2.png HTTP/1.1" 200 11193
0:0:0:0:0:0:0:1 - - [27/Mar/2020:20:21:16 +0100] "GET /Ej06_Selenium/imagenes/imagen1.png HTTP/1.1" 200 39686
0:0:0:0:0:0:0:1 - - [27/Mar/2020:20:21:16 +0100] "GET /favicon.ico HTTP/1.1" 404 1013
0:0:0:0:0:0:0:1 - - [27/Mar/2020:20:21:17 +0100] "GET /Ej06_Selenium/index.html HTTP/1.1" 200 4601
0:0:0:0:0:0:0:1 - - [27/Mar/2020:20:21:18 +0100] "GET /Ej06_Selenium/imagenes/imagen1.png HTTP/1.1" 200 39686
